arm,config_idx,determinism_ok,dyn_excess_pc_final,dyn_excess_pc_late_minus_early_mean,dyn_excess_pc_slope,dyn_excess_pc_slope_early,dyn_excess_pc_slope_late,dyn_excess_pc_switch,eg_excess_pc_final,eg_excess_pc_late_minus_early_mean,eg_excess_pc_slope,eg_excess_pc_slope_early,eg_excess_pc_slope_late,eg_excess_pc_switch,error,extinct,final_pop,food_inc,gdiff,m_scale,min_pop,n_distinct_genomes_final,n_distinct_genomes_late_minus_early_mean,n_distinct_genomes_slope,n_distinct_genomes_slope_early,n_distinct_genomes_slope_late,n_distinct_genomes_switch,param_mu_lut_p1,phase1_ticks,seed,sub_alive,sub_digest,sub_frac_evolved,sub_n_lut,tax
A,11,True,17811.665254237363,1682.2188394725526,-0.4013569783107267,7.565585207555016,-1.8787411375416616,3746.293032786896,0.48971193423494697,-2661.1740088541087,-0.48650924063786816,-7.199152663593225,-2.6544100096957395e-06,34185.971348289764,,False,39388,0.015,0.06,3.0,11143,25179.0,7902.788095238095,1.291642170651664,10.093225563909778,0.27822077922077737,10392.0,0.03,3000,2,41763,87437972901753,1.0,41738,0.035
C,11,True,67544.49547511316,44711.584888587175,8.405673380482652,-1.7420593900068073,1.2700643810154264,3523.3412556237017,13534.82964677643,22422.257552831165,3.553300627003291,-8.933391035901249,3.288617651357274,29131.95334652865,,False,11204,0.015,0.06,3.0,2034,11203.0,-1405.307142857142,-0.07439568682606718,3.0935563909774437,-0.9881688311688296,27551.0,0.03,3000,2,41763,87437972901753,1.0,41738,0.035
A,21,True,46813.152284263866,15196.470551127011,2.419132823720143,13.86963122019373,4.440333363536725,6154.37083333332,0.524005486862734,-4692.584079587794,-0.8582743446082212,-12.719514282719068,2.85037321812624e-06,54247.87977940147,,False,46861,0.015,0.06,3.0,8184,30403.0,10620.252380952381,1.7340748945147684,7.438541353383461,1.11281818181818,6707.0,0.03,3000,4,33849,178104171597714,1.0,33833,0.035
C,21,True,13536.865934426314,2350.485848653764,0.3677695481475754,-3.723786183948422,0.7261340554126062,7374.25979454926,6606.796416442143,-3616.811188923872,-0.683357882099154,-12.443252872034474,0.6011045766022823,62070.17774612218,,False,24399,0.015,0.06,3.0,7651,24391.0,711.3190476190466,0.19337154242850343,5.0523909774436095,-0.3693766233766229,15527.0,0.03,3000,4,33849,178104171597714,1.0,33833,0.035
B,48,,-9333358.0,0.0,2.245720139988058e-13,4.07251095186004e-13,8.1143871298e-13,-9333358.0,-10042574.0,0.0,4.491440279976116e-13,8.14502190372008e-13,8.92582584278e-13,-10042574.0,,True,0,0.015,0.06,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,9,0,0,0.0,0,0.035
A,25,True,7471895.0,4837763.137773909,760.1058585134768,5112.085860964602,-6.491509703840001e-13,1013.7358870967873,0.49519890267401934,-802.4967610910932,-0.1479610505094362,-2.251175656452427,-3.919263191932427e-06,14254.162243759842,,False,55639,0.015,0.06,3.0,29186,36562.0,8698.02380952381,1.446591537740273,14.246661654135343,-0.08396103896104003,17050.0,0.01,3000,5,40558,58554046761659,1.0,38593,0.035
C,25,True,15152.446641975315,-8784.275565437987,-1.0631112834330474,15.404507797912789,1.5567671525583229,291.04125450900756,7274.764750017086,-1808.5488976203087,-0.215628902180799,-2.5978102440128517,-0.1076246425620454,18273.2560982883,,False,22084,0.015,0.06,3.0,4960,21361.0,1882.354761904764,0.11164228785747701,-4.84982706766917,0.49070129870129575,45006.0,0.01,3000,5,40558,58554046761659,1.0,38593,0.035
A,2,True,2093450.0,1389982.711294872,216.69109928641706,1359.6180869012294,-2.0285967824500002e-14,1755.0708502024063,0.48971193423494697,-5327.182056718096,-0.9685391885475676,-14.067375230638591,4.097411451353024e-07,50099.50353635117,,False,56097,0.015,0.06,3.0,9955,36824.0,10242.121428571427,1.7359685888420069,18.785812030075196,0.0020779220779214916,10439.0,0.06,3000,0,46694,182497608082278,1.0,46694,0.035
C,2,True,8703.404634146369,-5888.266041739584,-1.0545301818723338,3.3638025634370683,-2.6131003047724164,1873.90592712551,2820.271710602101,-520.8181240671802,-0.2339536092597399,-14.779652546555331,-0.7011686490572744,41958.26857513217,,False,31397,0.015,0.06,3.0,2821,31397.0,1219.1857142857152,0.17668178621659605,-1.359127819548874,2.636363636363633,32163.0,0.06,3000,0,46694,182497608082278,1.0,46694,0.035
A,20,True,7272118.0,2534053.2920649704,433.72092259469247,4959.721512029699,-2.02859678245e-13,492.9598393574124,0.4993141288869083,-855.722171256373,-0.1584305239217875,-2.4425737142654893,3.7233000228108404e-06,16959.18150026648,,False,55984,0.015,0.06,3.0,43867,36452.0,3474.3333333333358,0.6141551804969515,8.01039097744361,0.07629870129869733,15921.0,0.01,3000,4,36025,247378199773862,1.0,34247,0.035
C,20,True,19695.27878008294,-11622.120012137473,-1.7354845467234499,4.815669870418452,3.653565955389325,1198.0819032258296,14578.876766428119,-2616.6167899755196,-0.4509358013984292,-6.28398678201574,2.3228136615193193,21400.743273710075,,False,17017,0.015,0.06,3.0,5077,16466.0,1087.2190476190444,-0.06909353023910002,-5.642827067669171,-2.483935064935065,45025.0,0.01,3000,4,36025,247378199773862,1.0,34247,0.035
A,12,True,2224259.0,1782668.368532846,265.3886393593389,940.5551035673981,-2.231456460695e-13,1228.9395161290304,0.5075445813126862,-347.60116014971527,-0.06390577701547279,-0.963322974404491,-1.0688899314732924e-06,4968.994825505753,,False,55787,0.015,0.06,3.0,25562,36484.0,6541.130952380954,1.1175199249882788,12.596548872180456,0.08145454545454359,16886.0,0.06,3000,2,35260,35901553805778,1.0,35260,0.035
C,12,True,6483.27674493927,4546.897226344612,0.5343353593723656,4.08616786681621,9.102828862911414,1590.4132121212024,2668.668570501264,8232.697327290667,1.063221276501636,-6.4438744909142285,3.852274191106475,19121.466696659743,,False,39920,0.015,0.06,3.0,2887,39920.0,589.5952380952367,-0.06718237224566345,-4.797744360902255,0.27912987012986795,49841.0,0.06,3000,2,35260,35901553805778,1.0,35260,0.035
A,10,True,7586609.0,4534339.0661248695,723.0615348277515,5473.339366921285,6.491509703840001e-13,2060.876016260154,0.5034293555654585,-862.0295894754142,-0.1595981814217957,-2.460581183680673,-3.2244847041204026e-06,17084.299933160335,,False,56269,0.015,0.06,3.0,40921,36514.0,5817.7928571428565,0.957174636661979,9.41411278195489,0.0009610389610375645,15622.0,0.01,3000,2,32177,131810420150760,1.0,30714,0.035
C,10,True,20044.210605809116,4580.152503000829,0.5679180228682426,-1.592038264779156,2.976258587996246,1518.817171717179,1566.5996114653535,527.1981828927346,0.03240341572542393,-3.023064739215227,-0.5440740246872832,12033.530617074532,,False,19827,0.015,0.06,3.0,7406,19168.0,-155.01904761904734,0.04084165494608404,-2.977789473684211,-0.07584415584415473,41914.0,0.01,3000,2,32177,131810420150760,1.0,30714,0.035
A,6,True,3301545.0,1302966.3243050885,219.99684768582267,2356.793348040099,-2.6371758171850005e-13,9695.507462686568,0.4842249657958746,-6068.686746892924,-1.111788330050403,-16.566555856088655,-6.270821103463371e-06,76867.20411268019,,False,56087,0.015,0.06,3.0,8463,36750.0,8073.421428571426,1.4094671823722464,17.597751879699253,-0.04081818181818053,6833.0,0.03,3000,1,33087,63572020258976,1.0,33072,0.035
C,6,True,28101.08115789469,-314.5084189443169,-0.264473887312349,4.702978835724345,-0.30993195744636237,7347.727664570208,11352.568856317084,1229.4444450213314,-0.12766223088562936,-13.842050495963758,2.6305987892645235,84170.84740939066,,False,18028,0.015,0.06,3.0,4608,18023.0,1640.72380952381,0.17241983122362753,-0.38025563909774884,0.2939090909090897,16053.0,0.03,3000,1,33087,63572020258976,1.0,33072,0.035
A,0,True,7275018.0,4216756.781905873,675.2791811962749,5273.4874863125515,-4.0571935649e-13,1256.4505050505104,0.49657064490020275,-563.4324891553778,-0.10433942622757028,-1.6098134160908146,-4.4715228436104e-06,11269.142761094146,,False,55889,0.015,0.06,3.0,41821,36729.0,3809.6119047619068,0.6834501875293011,8.780834586466167,0.09425974025973637,16263.0,0.01,3000,0,35636,13931209283327,1.0,33878,0.035
C,0,True,8700.039934959379,-13959.111072464946,-1.9051141473491768,1.0851166475956848,1.0293829464687652,604.2598232931632,1608.3573218618985,-2198.38492388501,-0.3477954163940955,-5.093998105650327,0.5630737206243874,17419.01124784707,,False,26704,0.015,0.06,3.0,3726,25864.0,467.1285714285732,-0.04568565400844009,-3.713759398496237,-0.16505194805194945,42151.0,0.01,3000,0,35636,13931209283327,1.0,33878,0.035
A,15,True,7335403.0,4360811.470929544,695.6652165550554,5281.517763400591,-5.68007099086e-13,1006.4556451612734,0.49657064443454146,-447.838257520116,-0.08293299439051505,-1.2795294124309842,-7.482230717727842e-07,8957.234874093672,,False,55967,0.015,0.06,3.0,41370,36560.0,3987.7047619047626,0.6991849507735592,8.30848120300752,0.08036363636363711,16200.0,0.01,3000,3,36180,240755415748516,1.0,34382,0.035
C,15,True,12019.272977505112,-4475.420685857094,-0.5318207328476822,5.564347619611867,1.9878564445691442,1204.7899032258138,0.4993141288869083,-1733.559239027598,-0.33041835057265945,-2.8231270785426035,0.30650431527143635,19960.932954705655,,False,28863,0.015,0.06,3.0,6344,27953.0,1168.9547619047626,0.05259517112048898,-5.088563909774435,0.5690909090909068,41197.0,0.01,3000,3,36180,240755415748516,1.0,34382,0.035
A,1,True,3233124.0,3189078.1557554007,524.3478663709445,17.606254223879684,-2.231456460695e-13,2181.4421906693606,0.4979423866607249,-2201.888420063627,-0.40397949866070526,-6.0487824002526684,9.441862529893192e-07,30372.693957871015,,False,55864,0.015,0.06,3.0,13803,36743.0,13148.952380952382,2.1407667604313176,15.518872180451133,0.16848051948051887,10466.0,0.03,3000,0,42807,30393913957833,1.0,42794,0.035
C,1,True,14814.081581108854,3010.09162253244,0.4366254902319564,-3.526762463742657,1.2523310970062487,1924.3877651821822,0.48422496556304395,-2287.5187631044155,-0.40213025290862525,-9.655498892629614,-0.974791445719227,29650.511938443087,,False,22574,0.015,0.06,3.0,8833,22567.0,775.7857142857138,0.2074355368026255,4.077007518796993,-0.5760519480519479,30445.0,0.03,3000,0,42807,30393913957833,1.0,42794,0.035
A,7,True,2183730.0,945655.3596876189,157.88987773319278,1596.4662044696086,-3.042895173675e-13,2478.5447154471476,0.4938271604478359,-912.005317065551,-0.16834319956485735,-2.5706765079348517,-8.194822993419926e-07,15908.670786193135,,False,56106,0.015,0.06,3.0,27669,36655.0,6666.014285714282,1.1574487810595397,13.751428571428578,0.008337662337658985,12911.0,0.06,3000,1,34180,107499126098316,1.0,34180,0.035
C,7,True,19714.131477178424,13817.426066555996,2.3993613150988433,2.8262769126338863,6.407446097811006,632.2072048192786,4135.761124148266,8277.956797587707,1.4420675673711816,-3.6946246077341462,13.00563356348585,16492.472361016597,,False,22122,0.015,0.06,3.0,7639,22122.0,-296.8023809523802,-0.16451570557899758,-1.0271954887218042,-3.3110389610389643,37762.0,0.06,3000,1,34180,107499126098316,1.0,34180,0.035
A,16,True,3224184.0,1255043.7056856796,212.0807005581773,2281.354062703403,-3.6514742084100004e-13,3360.333333333314,0.5089163240045309,-1569.0662667239014,-0.2881675667742064,-4.329083434170516,4.150856014147561e-06,21496.913703726153,,False,55773,0.015,0.06,3.0,16192,36786.0,6792.288095238091,1.1898660337552736,14.768263157894745,0.09427272727272368,9626.0,0.03,3000,3,38544,145713330627034,1.0,38528,0.035
C,16,True,15529.287440329208,15749.208231688553,3.0987617027474923,-2.669695459720869,-0.8189020757186091,3202.8785714285914,4288.395957328845,4270.933990821864,0.8557936238742289,-5.980529018196792,-3.2722543614728345,28569.98219336834,,False,21104,0.015,0.06,3.0,4890,21098.0,1885.3642857142877,0.2364942569151421,3.0754812030075205,-1.0458441558441534,23465.0,0.03,3000,3,38544,145713330627034,1.0,38528,0.035
A,5,True,7392907.0,2473713.595223968,424.80360981957693,4932.090862495253,-8.1143871298e-13,1013.3830645161506,0.514403291977942,-442.3535908817942,-0.08191744238126315,-1.2638707432244711,8.907417657896222e-08,8847.593144958286,,False,55933,0.015,0.06,3.0,36615,36695.0,3034.8261904761894,0.5511514299109227,7.670007518796995,0.015493506493502604,14815.0,0.01,3000,1,34315,271684789978557,1.0,32621,0.035
C,5,True,6528.41216194327,2064.124252507476,0.5241543815548897,0.2812955718019054,1.966021517823802,604.811188755004,1350.6181111412589,161.61366694933258,-0.009803788143949962,-1.4710649678915622,1.3172542831850818,9368.65348770551,,False,27125,0.015,0.06,3.0,10032,26208.0,539.5166666666664,0.05974167838724765,-0.856097744360901,-1.1763506493506517,36843.0,0.01,3000,1,34315,271684789978557,1.0,32621,0.035
